date,Plate.SN,well,DIV,treatment,dose,units,file.name,meanfiringrate,burst.per.min,mean.isis,per.spikes.in.burst,mean.dur,mean.IBIs,nAE,nABE,ns.n,ns.peak.m,ns.durn.m,ns.percent.of.spikes.in.ns,ns.mean.insis,ns.durn.sd,ns.mean.spikes.in.ns,r,mi,wllq,wllq_notes
20140827,MW1007-100,A8,7,Acetaminophen,30,uM,ON_20140827_MW1007-100_07_00_001.h5,0.686557142,1.38,0.06634101,45.064,0.57625,38.489125,10,8,7,9.857142857,0.180820578,2.087649402,109.4083333,0.040399955,18.71428571,0.040469163,0.000223347,1,
20140827,MW1007-100,A8,9,Acetaminophen,30,uM,ON_20140827_MW1007-100_09_00_001.h5,1.650244256,3.625714286,0.061992979,60.61123077,0.886153846,16.58861538,14,13,114,9.614035088,0.134173454,11.26908899,7.849115044,0.082153225,20.64912281,0.147793712,0.004158496,1,
20140827,MW1007-100,B1,12,Bisphenol A,0,uM,ON_20140827_MW1007-100_12_00_001.h5,1.64187573,6.43875,0.012523591,82.4616875,0.136125,12.3701875,16,16,144,15.10416667,0.141878637,43.17979952,6.199300699,0.047763683,70.89583333,0.541062594,0.02195127,1,
20140827,MW1007-100,B1,5,Bisphenol A,0,uM,ON_20140827_MW1007-100_05_00_001.h5,0.850000302,0.814285714,0.11014439,69.443,4.819,18.482,7,2,0,NA,NA,0,NA,NA,NA,0.008280713,8.65E-06,1,
20140827,MW1007-100,B1,7,Bisphenol A,0,uM,ON_20140827_MW1007-100_07_00_001.h5,0.839843211,1.997142857,0.045851805,59.51023077,0.538769231,34.32423077,14,13,25,13.88,0.240405159,7.729106088,29.84791667,0.083885391,32.96,0.14043365,0.001463843,1,
20140827,MW1007-100,B1,9,Bisphenol A,0,uM,ON_20140827_MW1007-100_09_00_001.h5,1.348893925,2.888,0.045837448,63.867,0.713214286,23.76142857,15,14,201,10.039801,0.108784991,22.54022108,4.38875,0.069753879,20.49253731,0.240689339,0.007804274,1,
20140827,MW1007-100,B2,12,Bisphenol A,0.03,uM,ON_20140827_MW1007-100_12_00_001.h5,1.413037665,4.816,0.025877745,84.057,0.308533333,14.6932,15,15,115,12.04347826,0.156863876,27.98765174,7.624561404,0.065887518,46.51304348,0.366028889,0.012890745,1,
20140827,MW1007-100,B2,5,Bisphenol A,0.03,uM,ON_20140827_MW1007-100_05_00_001.h5,0.425555707,0.555,0.093447225,22.83133333,0.544333333,42.583,8,3,0,NA,NA,0,NA,NA,NA,0.004704383,1.12E-05,1,
20140827,MW1007-100,B2,7,Bisphenol A,0.03,uM,ON_20140827_MW1007-100_07_00_001.h5,0.727700094,1.894285714,0.054361646,67.43683333,0.655083333,29.64133333,14,12,33,10.12121212,0.225395924,8.058210252,26.3453125,0.090113173,22.48484848,0.100732743,0.001703579,1,
20140827,MW1007-100,B2,9,Bisphenol A,0.03,uM,ON_20140827_MW1007-100_09_00_001.h5,1.997785236,4.68375,0.040961135,63.8694375,0.5718125,21.65225,16,16,268,10.08208955,0.115471188,22.42769744,3.307865169,0.075308975,24.07462687,0.228452761,0.010170504,1,
20140827,MW1007-100,B3,12,Bisphenol A,0.1,uM,ON_20140827_MW1007-100_12_00_001.h5,1.076319923,3.91875,0.015815844,84.92993333,0.189933333,16.20333333,16,15,92,14.42391304,0.158852251,29.65352603,9.548901099,0.047092328,49.95652174,0.437085996,0.013818627,1,
20140827,MW1007-100,B3,5,Bisphenol A,0.1,uM,ON_20140827_MW1007-100_05_00_001.h5,0.32481493,0.44,0.10048419,20.924,0.4755,86.6455,3,2,0,NA,NA,0,NA,NA,NA,0.011433805,0,1,
20140827,MW1007-100,B3,7,Bisphenol A,0.1,uM,ON_20140827_MW1007-100_07_00_001.h5,0.58540876,1.576,0.049259509,61.09738462,0.513538462,41.36,15,13,24,12.08333333,0.203953373,7.440212578,36.25652174,0.066733729,24.5,0.11754564,0.001208714,1,
20140827,MW1007-100,B3,9,Bisphenol A,0.1,uM,ON_20140827_MW1007-100_09_00_001.h5,1.11924029,2.94375,0.037547195,66.7270625,0.4766875,23.6958125,16,16,181,10.66298343,0.120549319,23.24253893,4.868611111,0.089159674,20.6961326,0.27778279,0.007343553,1,
20140827,MW1007-100,B4,12,Bisphenol A,0.3,uM,ON_20140827_MW1007-100_12_00_001.h5,1.258148707,4.112,0.025368646,74.9785,0.283714286,18.85471429,15,14,86,10.05813953,0.157233412,21.18688794,10.16588235,0.07563859,42.01162791,0.265357754,0.006995312,1,
20140827,MW1007-100,B4,5,Bisphenol A,0.3,uM,ON_20140827_MW1007-100_05_00_001.h5,0.300444551,0.672,0.070786239,37.4405,0.346,45.509,5,2,0,NA,NA,0,NA,NA,NA,0.001980861,0,1,
20140827,MW1007-100,B4,7,Bisphenol A,0.3,uM,ON_20140827_MW1007-100_07_00_001.h5,0.688242331,1.495,0.048668445,71.60985714,0.752142857,29.40185714,12,7,23,9.826086957,0.227895963,8.191901644,39.21363636,0.089925843,26.65217391,0.105478846,0.001515546,1,
20140827,MW1007-100,B4,9,Bisphenol A,0.3,uM,ON_20140827_MW1007-100_09_00_001.h5,1.305163603,3.342857143,0.044304559,58.60364286,0.497214286,26.61157143,14,14,116,8.905172414,0.117020622,16.66565663,7.370434783,0.061027003,23.70689655,0.203710527,0.005526238,1,
20140827,MW1007-100,B5,12,Bisphenol A,1,uM,ON_20140827_MW1007-100_12_00_001.h5,0.639259543,2.532,0.028165934,65.91876923,0.248307692,26.93361538,15,13,65,11.26153846,0.121296504,26.95420907,13.71640625,0.040196766,35.86153846,0.273900736,0.005131284,1,
20140827,MW1007-100,B5,5,Bisphenol A,1,uM,ON_20140827_MW1007-100_05_00_001.h5,0.598518731,0.22,NA,0,NA,NA,3,0,0,NA,NA,0,NA,NA,NA,0.009282053,0,1,
20140827,MW1007-100,B5,7,Bisphenol A,1,uM,ON_20140827_MW1007-100_07_00_001.h5,0.56044574,1.104,0.049491997,63.85271429,0.432428571,43.42442857,10,7,12,9.166666667,0.209107143,4.068190624,71.93636364,0.03508259,17.5,0.072870868,0.000374196,1,
20140827,MW1007-100,B5,9,Bisphenol A,1,uM,ON_20140827_MW1007-100_09_00_001.h5,0.591446653,1.482,0.035979729,60.6505,0.320875,39.61275,10,8,21,12.76190476,0.127362928,14.72392638,42.2675,0.016550083,38.85714286,0.172312794,0.00153328,1,
20140827,MW1007-100,B6,12,Bisphenol A,3,uM,ON_20140827_MW1007-100_12_00_001.h5,1.162431072,3.6075,0.025015812,65.601375,0.2665625,21.458375,16,16,148,10.38513514,0.110977445,29.95399964,5.923129252,0.046444046,33.87837838,0.303095221,0.008453653,1,
20140827,MW1007-100,B6,5,Bisphenol A,3,uM,ON_20140827_MW1007-100_05_00_001.h5,0.160000057,0,NA,0,NA,NA,3,0,1,6,0.0625,1.500682128,NA,NA,11,-0.001469427,0,1,
20140827,MW1007-100,B6,7,Bisphenol A,3,uM,ON_20140827_MW1007-100_07_00_001.h5,0.303926628,1.008,0.029770356,63.26576923,0.255230769,57.70861538,15,13,17,13.94117647,0.171887467,16.95821186,53.196875,0.01897747,41.05882353,0.199981264,0.0015002,1,
20140827,MW1007-100,B6,9,Bisphenol A,3,uM,ON_20140827_MW1007-100_09_00_001.h5,0.556224299,1.72,0.023586711,73.24407143,0.241785714,36.86278571,15,14,22,15.04545455,0.149568806,21.80689473,40.38095238,0.028791233,75.04545455,0.357889007,0.005156461,1,
20140827,MW1007-100,B7,12,Bisphenol A,10,uM,ON_20140827_MW1007-100_12_00_001.h5,1.131515654,3.627272727,0.033870858,62.4117,0.2833,19.0758,11,10,63,9.968253968,0.111217604,20.08131518,14.18467742,0.030054821,36.06349206,0.265866874,0.004641632,1,
20140827,MW1007-100,B7,5,Bisphenol A,10,uM,ON_20140827_MW1007-100_05_00_001.h5,0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,
20140827,MW1007-100,B7,7,Bisphenol A,10,uM,ON_20140827_MW1007-100_07_00_001.h5,0.828890805,0.516,0.1138844,9.694,0.813,29.143,5,2,0,NA,NA,0,NA,NA,NA,0.008547386,3.56E-06,1,
20140827,MW1007-100,B7,9,Bisphenol A,10,uM,ON_20140827_MW1007-100_09_00_001.h5,0.425334921,1.176,0.049800545,59.668375,0.463375,49.023,10,8,18,9.777777778,0.150835538,11.50762865,50.49117647,0.020851048,24.72222222,0.134696192,0.001078887,1,
20140827,MW1007-100,B8,12,Bisphenol A,30,uM,ON_20140827_MW1007-100_12_00_001.h5,1.050000467,3.0975,0.016151175,62.1514375,0.16525,26.26975,16,16,223,11.14798206,0.091314879,43.25396825,3.976351351,0.044762142,29.32735426,0.393695694,0.01199146,1,
20140827,MW1007-100,B8,5,Bisphenol A,30,uM,ON_20140827_MW1007-100_05_00_001.h5,0.110000039,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0,1,
20140827,MW1007-100,B8,7,Bisphenol A,30,uM,ON_20140827_MW1007-100_07_00_001.h5,0.227556081,0.444,0.07742887,51.685,0.387,34.871,5,1,1,5,0.072916667,0.824931256,NA,NA,9,0.021943649,0,1,
20140827,MW1007-100,B8,9,Bisphenol A,30,uM,ON_20140827_MW1007-100_09_00_001.h5,1.093539436,4.145454545,0.059273164,62.6759,0.5232,28.002,11,10,32,9.125,0.163026104,5.700994253,27.6516129,0.067578744,19.53125,0.120039727,0.003397687,1,
20140827,MW1007-100,C1,12,Deltamethrin,0,uM,ON_20140827_MW1007-100_12_00_001.h5,2.450209422,7.0725,0.02849447,67.3885,0.3665625,10.357625,16,16,254,13.7007874,0.116527118,32.57092651,3.512648221,0.059177462,45.24409449,0.327701692,0.017609331,1,
20140827,MW1007-100,C1,5,Deltamethrin,0,uM,ON_20140827_MW1007-100_05_00_001.h5,0.153333388,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0,1,
20140827,MW1007-100,C1,7,Deltamethrin,0,uM,ON_20140827_MW1007-100_07_00_001.h5,0.834001927,1.53,0.081323315,35.654,0.560333333,25.46166667,10,6,6,9.5,0.114117063,0.97643536,110.73,0.014017594,12.5,0.016451255,9.23E-05,1,
