"","DOP","date","Chemical","Dosage","Group_ID","Endpoint","value"
"5196","22","4/11/2024","Deltamethrin","Control","1_T002516_8","longestDistFromInitSite_mean_neuron",769.85
"5197","27","4/16/2024","Deltamethrin","Control","1_T002516_8","longestDistFromInitSite_mean_neuron",318.475
"5198","29","4/18/2024","Deltamethrin","Control","1_T002516_8","longestDistFromInitSite_mean_neuron",406.9875
"5199","8","3/28/2024","Deltamethrin","Control","1_T002516_8","longestDistFromInitSite_mean_neuron",102
"5200","6","3/26/2024","Deltamethrin","Control","1_T002516_8","longestDistFromInitSite_mean_neuron",NA
"5201","13","4/2/2024","Deltamethrin","3","1_T002516_9","longestDistFromInitSite_mean_neuron",95.4
"5202","15","4/4/2024","Deltamethrin","3","1_T002516_9","longestDistFromInitSite_mean_neuron",187.82
"5203","20","4/9/2024","Deltamethrin","3","1_T002516_9","longestDistFromInitSite_mean_neuron",162.166666666667
"5204","22","4/11/2024","Deltamethrin","3","1_T002516_9","longestDistFromInitSite_mean_neuron",155.857142857143
"5205","27","4/16/2024","Deltamethrin","3","1_T002516_9","longestDistFromInitSite_mean_neuron",468.25
"5206","29","4/18/2024","Deltamethrin","3","1_T002516_9","longestDistFromInitSite_mean_neuron",643.18
"5207","15","4/4/2024","Deltamethrin","10","1_T002516_10","longestDistFromInitSite_mean_neuron",106.4
"5208","29","4/18/2024","Deltamethrin","10","1_T002516_10","longestDistFromInitSite_mean_neuron",902.9
"5209","6","3/26/2024","Deltamethrin","10","1_T002516_10","longestDistFromInitSite_mean_neuron",112.1
"5210","22","4/11/2024","Deltamethrin","10","1_T002516_10","longestDistFromInitSite_mean_neuron",NA
"5211","27","4/16/2024","Deltamethrin","100","1_T002516_12","longestDistFromInitSite_mean_neuron",NA
"5212","29","4/18/2024","Deltamethrin","100","1_T002516_12","longestDistFromInitSite_mean_neuron",NA
"5213","13","4/2/2024","Glyphosate","0.3","1_T002516_13","longestDistFromInitSite_mean_neuron",117.4
"5214","20","4/9/2024","Glyphosate","0.3","1_T002516_13","longestDistFromInitSite_mean_neuron",375.771428571429
"5215","22","4/11/2024","Glyphosate","0.3","1_T002516_13","longestDistFromInitSite_mean_neuron",214.025
"5216","27","4/16/2024","Glyphosate","0.3","1_T002516_13","longestDistFromInitSite_mean_neuron",541.239130434783
"5217","29","4/18/2024","Glyphosate","0.3","1_T002516_13","longestDistFromInitSite_mean_neuron",603.916666666667
"5218","6","3/26/2024","Glyphosate","0.3","1_T002516_13","longestDistFromInitSite_mean_neuron",430.15
"5219","15","4/4/2024","Glyphosate","0.3","1_T002516_13","longestDistFromInitSite_mean_neuron",NA
"5220","13","4/2/2024","Glyphosate","Control","1_T002516_14","longestDistFromInitSite_mean_neuron",252.4
"5221","15","4/4/2024","Glyphosate","Control","1_T002516_14","longestDistFromInitSite_mean_neuron",292.125
"5222","20","4/9/2024","Glyphosate","Control","1_T002516_14","longestDistFromInitSite_mean_neuron",394.455555555556
"5223","22","4/11/2024","Glyphosate","Control","1_T002516_14","longestDistFromInitSite_mean_neuron",397.683333333333
